Index,Chemical,Count,
Mar-98,Iron,7,
Mar-98,Ammonium,7,
Mar-98,Mercury,7,
Mar-98,Chromium,7,
Mar-98,Atrazine,7,
Mar-98,Chemical Oxygen Demand (Cr),7,
Mar-98,Sulphates,7,
Mar-98,Magnesium,7,
Mar-98,Nitrates,7,
Mar-98,AOX,7,
Mar-98,Cadmium,7,
Mar-98,Dissolved oxygen,7,
Mar-98,Manganese,7,
Mar-98,Water temperature,7,
Mar-98,Nickel,7,
Mar-98,Lead,7,
Mar-98,Calcium,7,
Mar-98,Zinc,7,
Mar-98,Total coliforms,7,
Mar-98,Chemical Oxygen Demand (Mn),7,
Mar-98,Biochemical Oxygen,7,
Mar-98,Fecal coliforms,7,
Mar-98,Nitrites,7,
Mar-98,Chlorides,7,
Mar-98,Macrozoobenthos,7,
Mar-98,Potassium,7,
Mar-98,Sodium,7,
Mar-98,Orthophosphate-phosphorus,7,
Mar-98,Total phosphorus,7,
Mar-98,Cesium,7,
Mar-98,Arsenic,7,
Mar-98,Copper,7,
Apr-98,Orthophosphate-phosphorus,11,
Apr-98,Magnesium,11,
Apr-98,Iron,11,
Apr-98,Calcium,11,
Apr-98,gamma-Hexachlorocyclohexane,11,
Apr-98,Mercury,11,
Apr-98,Potassium,11,
Apr-98,Chemical Oxygen Demand (Cr),11,
Apr-98,Chromium,11,
Apr-98,Chlorides,11,
Apr-98,Nitrites,11,
Apr-98,Water temperature,11,
Apr-98,Atrazine,11,
Apr-98,"p,p-DDT",8,
Apr-98,Sodium,11,
Apr-98,Total coliforms,11,
Apr-98,Cadmium,11,
Apr-98,Biochemical Oxygen,11,
Apr-98,Zinc,11,
Apr-98,Arsenic,11,
Apr-98,Nickel,11,
Apr-98,Dissolved oxygen,11,
Apr-98,Macrozoobenthos,11,
Apr-98,AOX,11,
Apr-98,Sulphates,11,
Apr-98,Manganese,11,
Apr-98,Copper,11,
Apr-98,Fecal coliforms,11,
Apr-98,Cesium,11,
Apr-98,Ammonium,11,
Apr-98,Nitrates,11,
Apr-98,Total phosphorus,11,
Apr-98,Lead,11,
Apr-98,Chemical Oxygen Demand (Mn),11,
May-98,Chromium,8,
May-98,Biochemical Oxygen,8,
May-98,Total coliforms,8,
May-98,Sulphates,8,
May-98,Calcium,8,
May-98,Chemical Oxygen Demand (Mn),8,
May-98,Atrazine,8,
May-98,Cadmium,8,
May-98,Arsenic,8,
May-98,Mercury,8,
May-98,Macrozoobenthos,8,
May-98,Nitrates,8,
May-98,Nitrites,8,
May-98,Iron,8,
May-98,Orthophosphate-phosphorus,8,
May-98,Lead,8,
May-98,Chlorides,8,
May-98,Total phosphorus,8,
May-98,Sodium,8,
May-98,Zinc,8,
May-98,"p,p-DDT",3,
May-98,AOX,8,
May-98,Ammonium,8,
May-98,Cesium,8,
May-98,Fecal coliforms,8,
May-98,Water temperature,8,
May-98,Potassium,8,
May-98,Magnesium,8,
May-98,Nickel,8,
May-98,Chemical Oxygen Demand (Cr),8,
May-98,Copper,8,
May-98,Dissolved oxygen,8,
May-98,Manganese,8,
Jun-98,"p,p-DDT",4,
Jun-98,Chemical Oxygen Demand (Mn),11,
Jun-98,Nickel,11,
Jun-98,Chemical Oxygen Demand (Cr),11,
Jun-98,Cadmium,11,
Jun-98,Dissolved oxygen,11,
Jun-98,Atrazine,11,
Jun-98,Sulphates,11,
Jun-98,Lead,11,
Jun-98,Orthophosphate-phosphorus,11,
Jun-98,Water temperature,11,
Jun-98,Ammonium,11,
Jun-98,Total coliforms,11,
Jun-98,Chlorides,11,
Jun-98,AOX,11,
Jun-98,Macrozoobenthos,11,
Jun-98,Cesium,11,
Jun-98,Fecal coliforms,11,
Jun-98,Calcium,11,
Jun-98,Nitrates,11,
Jun-98,Sodium,11,
Jun-98,Potassium,11,
Jun-98,Biochemical Oxygen,11,
Jun-98,Manganese,11,
Jun-98,Mercury,11,
Jun-98,Total phosphorus,11,
Jun-98,Magnesium,11,
Jun-98,Arsenic,11,
Jun-98,Zinc,11,
Jun-98,Nitrites,11,
Jun-98,Iron,11,
Jun-98,Copper,11,
Jun-98,gamma-Hexachlorocyclohexane,11,
Jun-98,Chromium,11,
Jul-98,Fecal coliforms,8,
Jul-98,Chromium,8,
Jul-98,Water temperature,8,
Jul-98,Chemical Oxygen Demand (Cr),8,
Jul-98,Manganese,8,
Jul-98,Nitrites,8,
Jul-98,Chlorides,8,
Jul-98,Potassium,8,
Jul-98,Nitrates,8,
Jul-98,Magnesium,8,
Jul-98,Sulphates,8,
Jul-98,Macrozoobenthos,8,
Jul-98,Lead,8,
Jul-98,Calcium,8,
Jul-98,AOX,8,
Jul-98,Total phosphorus,8,
Jul-98,Chemical Oxygen Demand (Mn),8,
Jul-98,Cadmium,8,
Jul-98,Copper,8,
Jul-98,Arsenic,8,
Jul-98,Sodium,8,
Jul-98,Ammonium,8,
Jul-98,Cesium,8,
Jul-98,Biochemical Oxygen,8,
Jul-98,Atrazine,8,
Jul-98,Nickel,8,
Jul-98,Mercury,8,
Jul-98,Orthophosphate-phosphorus,8,
Jul-98,Zinc,8,
Jul-98,"p,p-DDT",1,
Jul-98,Iron,8,
Jul-98,Dissolved oxygen,8,
Jul-98,Total coliforms,8,
Aug-98,Total phosphorus,11,
Aug-98,Cesium,11,
Aug-98,Arsenic,11,
Aug-98,Manganese,14,
Aug-98,Chemical Oxygen Demand (Cr),11,
Aug-98,Atrazine,11,
Aug-98,Calcium,11,
Aug-98,Total coliforms,11,
Aug-98,Cadmium,14,
Aug-98,Lead,14,
Aug-98,Chromium,14,
Aug-98,Sodium,11,
Aug-98,Nitrites,11,
Aug-98,Copper,14,
Aug-98,Dissolved oxygen,11,
Aug-98,AOX,11,
Aug-98,Magnesium,11,
Aug-98,Macrozoobenthos,11,
Aug-98,Water temperature,11,
Aug-98,Orthophosphate-phosphorus,11,
Aug-98,Chlorides,11,
Aug-98,Biochemical Oxygen,11,
Aug-98,Sulphates,11,
Aug-98,Iron,11,
Aug-98,Mercury,11,
Aug-98,Chemical Oxygen Demand (Mn),11,
Aug-98,Ammonium,11,
Aug-98,Zinc,14,
Aug-98,Nitrates,11,
Aug-98,Potassium,11,
Aug-98,Fecal coliforms,11,
Aug-98,Nickel,11,
Sep-98,Iron,8,
Sep-98,Copper,8,
Sep-98,Cadmium,8,
Sep-98,Atrazine,8,
Sep-98,Nickel,8,
Sep-98,Zinc,8,
Sep-98,Total phosphorus,8,
Sep-98,Mercury,8,
Sep-98,AOX,8,
Sep-98,Sulphates,8,
Sep-98,Chromium,8,
Sep-98,Nitrites,8,
Sep-98,Macrozoobenthos,8,
Sep-98,Dissolved oxygen,8,
Sep-98,Nitrates,8,
Sep-98,Sodium,8,
Sep-98,Fecal coliforms,8,
Sep-98,Magnesium,8,
Sep-98,Arsenic,8,
Sep-98,Chemical Oxygen Demand (Cr),8,
Sep-98,Lead,8,
Sep-98,Chemical Oxygen Demand (Mn),8,
Sep-98,Ammonium,8,
Sep-98,Total coliforms,8,
Sep-98,Potassium,8,
Sep-98,Chlorides,8,
Sep-98,Water temperature,8,
Sep-98,Calcium,8,
Sep-98,Manganese,8,
Sep-98,Biochemical Oxygen,8,
Sep-98,Orthophosphate-phosphorus,8,
Sep-98,Cesium,8,
Oct-98,Cesium,14,
Oct-98,Fecal coliforms,14,
Oct-98,Chemical Oxygen Demand (Mn),14,
Oct-98,Chemical Oxygen Demand (Cr),14,
Oct-98,Potassium,14,
Oct-98,Magnesium,14,
Oct-98,Dissolved oxygen,14,
Oct-98,Arsenic,14,
Oct-98,Manganese,14,
Oct-98,Lead,14,
Oct-98,Total coliforms,14,
Oct-98,Orthophosphate-phosphorus,14,
Oct-98,Chromium,14,
Oct-98,Chlorides,14,
Oct-98,Calcium,14,
Oct-98,Nickel,14,
Oct-98,AOX,14,
Oct-98,Macrozoobenthos,14,
Oct-98,Ammonium,14,
Oct-98,Sulphates,14,
Oct-98,Atrazine,14,
Oct-98,Nitrates,14,
Oct-98,Copper,14,
Oct-98,Water temperature,14,
Oct-98,Zinc,14,
Oct-98,Iron,14,
Oct-98,Total phosphorus,14,
Oct-98,Biochemical Oxygen,14,
Oct-98,Sodium,14,
Oct-98,Cadmium,14,
Oct-98,Mercury,14,
Oct-98,Nitrites,14,
Nov-98,Biochemical Oxygen,14,
Nov-98,Chromium,14,
Nov-98,Fecal coliforms,14,
Nov-98,Arsenic,14,
Nov-98,Mercury,14,
Nov-98,Atrazine,14,
Nov-98,Chlorides,14,
Nov-98,Copper,14,
Nov-98,Iron,14,
Nov-98,Nitrites,14,
Nov-98,Potassium,14,
Nov-98,Ammonium,14,
Nov-98,Cadmium,14,
Nov-98,Magnesium,14,
Nov-98,Macrozoobenthos,14,
Nov-98,Chemical Oxygen Demand (Mn),14,
Nov-98,Lead,14,
Nov-98,Cesium,14,
Nov-98,Nickel,14,
Nov-98,Orthophosphate-phosphorus,14,
Nov-98,Chemical Oxygen Demand (Cr),14,
Nov-98,Zinc,14,
Nov-98,Manganese,14,
Nov-98,AOX,14,
Nov-98,Sodium,14,
Nov-98,Sulphates,14,
Nov-98,Calcium,14,
Nov-98,Total phosphorus,14,
Nov-98,Nitrates,14,
Nov-98,Total coliforms,14,
Nov-98,Dissolved oxygen,14,
Nov-98,Water temperature,14,
Dec-98,Total phosphorus,14,
Dec-98,Copper,14,
Dec-98,Chlorides,14,
Dec-98,Water temperature,13,
Dec-98,Manganese,14,
Dec-98,Chemical Oxygen Demand (Cr),13,
Dec-98,Nickel,14,
Dec-98,Chemical Oxygen Demand (Mn),14,
Dec-98,Chromium,14,
Dec-98,Iron,14,
Dec-98,Mercury,14,
Dec-98,Dissolved oxygen,13,
Dec-98,Nitrates,14,
Dec-98,Biochemical Oxygen,14,
Dec-98,Zinc,14,
Dec-98,Nitrites,14,
Dec-98,Macrozoobenthos,14,
Dec-98,Ammonium,14,
Dec-98,Fecal coliforms,14,
Dec-98,Sodium,14,
Dec-98,Arsenic,14,
Dec-98,Orthophosphate-phosphorus,14,
Dec-98,Total coliforms,14,
Dec-98,Cadmium,14,
Dec-98,AOX,14,
Dec-98,Calcium,14,
Dec-98,Magnesium,14,
Dec-98,Sulphates,14,
Dec-98,Atrazine,14,
Dec-98,Potassium,14,
Dec-98,Cesium,14,
Dec-98,Lead,14,
Jan-99,Anionic active surfactants,11,
Jan-99,Bicarbonates,15,
Jan-99,Orthophosphate-phosphorus,15,
Jan-99,Water temperature,15,
Jan-99,Calcium,15,
Jan-99,Total coliforms,5,
Jan-99,Magnesium,15,
Jan-99,Ammonium,15,
Jan-99,Nitrates,15,
Jan-99,Iron,13,
Jan-99,Sodium,15,
Jan-99,"p,p-DDT",15,
Jan-99,Fecal coliforms,5,
Jan-99,Biochemical Oxygen,15,
Jan-99,Fecal streptococci ,2,
Jan-99,Chemical Oxygen Demand (Mn),15,
Jan-99,Macrozoobenthos,7,
Jan-99,Cadmium,13,
Jan-99,Lead,13,
Jan-99,Manganese,13,
Jan-99,Dissolved oxygen,15,
Jan-99,Total phosphorus,15,
Jan-99,Copper,13,
Jan-99,Chromium,13,
Jan-99,gamma-Hexachlorocyclohexane,15,
Jan-99,Zinc,13,
Jan-99,Nitrites,15,
Jan-99,Chemical Oxygen Demand (Cr),15,
Jan-99,Sulphates,15,
Jan-99,Chlorides,15,
Jan-99,Total extractable matter,5,
Jan-99,Potassium,15,
Feb-99,Chlorides,15,
Feb-99,Chromium,15,
Feb-99,Anionic active surfactants,11,
Feb-99,Calcium,15,
Feb-99,Ammonium,15,
Feb-99,Fecal coliforms,11,
Feb-99,Lead,12,
Feb-99,Chemical Oxygen Demand (Mn),15,
Feb-99,Sulphates,15,
Feb-99,Nitrates,15,
Feb-99,Chemical Oxygen Demand (Cr),14,
Feb-99,gamma-Hexachlorocyclohexane,15,
Feb-99,Magnesium,15,
Feb-99,Total coliforms,14,
Feb-99,Total phosphorus,15,
Feb-99,Orthophosphate-phosphorus,15,
Feb-99,Water temperature,15,
Feb-99,Cadmium,15,
Feb-99,Dissolved oxygen,15,
Feb-99,Potassium,15,
Feb-99,Sodium,15,
Feb-99,Copper,15,
Feb-99,"p,p-DDT",15,
Feb-99,Nitrites,15,
Feb-99,Iron,15,
Feb-99,Total extractable matter,3,
Feb-99,Manganese,15,
Feb-99,Biochemical Oxygen,15,
Feb-99,Zinc,15,
Feb-99,Bicarbonates,15,
Feb-99,Macrozoobenthos,6,
Feb-99,Fecal streptococci ,9,
Mar-99,Copper,15,
Mar-99,Ammonium,15,
Mar-99,Iron,15,
Mar-99,Anionic active surfactants,11,
Mar-99,Calcium,15,
Mar-99,Total coliforms,9,
Mar-99,Chemical Oxygen Demand (Mn),15,
Mar-99,Magnesium,15,
Mar-99,Water temperature,15,
Mar-99,Fecal coliforms,7,
Mar-99,Sodium,15,
Mar-99,Orthophosphate-phosphorus,15,
Mar-99,Cadmium,15,
Mar-99,Total phosphorus,15,
Mar-99,Manganese,15,
Mar-99,Sulphates,15,
Mar-99,Nitrites,15,
Mar-99,gamma-Hexachlorocyclohexane,15,
Mar-99,Dissolved oxygen,15,
Mar-99,Nitrates,15,
Mar-99,Macrozoobenthos,15,
Mar-99,Chromium,15,
Mar-99,Potassium,15,
Mar-99,Biochemical Oxygen,15,
Mar-99,Zinc,15,
Mar-99,Lead,15,
Mar-99,Bicarbonates,15,
Mar-99,Fecal streptococci ,6,
Mar-99,Chemical Oxygen Demand (Cr),15,
Mar-99,"p,p-DDT",15,
Mar-99,Total extractable matter,1,
Mar-99,Chlorides,15,
Apr-99,Orthophosphate-phosphorus,15,
Apr-99,Iron,15,
Apr-99,Water temperature,15,
Apr-99,"p,p-DDT",12,
Apr-99,Ammonium,15,
Apr-99,Fecal coliforms,10,
Apr-99,Lead,15,
Apr-99,Chemical Oxygen Demand (Mn),15,
Apr-99,Chromium,15,
Apr-99,Magnesium,15,
Apr-99,Zinc,15,
Apr-99,Total phosphorus,15,
Apr-99,Dissolved oxygen,15,
Apr-99,Calcium,15,
Apr-99,Nitrites,15,
Apr-99,Potassium,15,
Apr-99,Fecal streptococci ,3,
Apr-99,Sulphates,15,
Apr-99,Biochemical Oxygen,15,
Apr-99,Sodium,15,
Apr-99,Copper,15,
Apr-99,Total coliforms,11,
Apr-99,Chlorides,15,
Apr-99,Nitrates,15,
Apr-99,gamma-Hexachlorocyclohexane,15,
Apr-99,Manganese,15,
Apr-99,Cadmium,15,
Apr-99,Macrozoobenthos,12,
May-99,Chemical Oxygen Demand (Mn),15,
May-99,Sodium,15,
May-99,Bicarbonates,2,
May-99,Potassium,15,
May-99,Calcium,15,
May-99,Nitrites,15,
May-99,Anionic active surfactants,2,
May-99,Fecal coliforms,14,
May-99,Manganese,15,
May-99,Lead,15,
May-99,Total coliforms,15,
May-99,Orthophosphate-phosphorus,15,
May-99,Chromium,15,
May-99,Water temperature,15,
May-99,Copper,15,
May-99,Sulphates,15,
May-99,Dissolved oxygen,15,
May-99,Total phosphorus,15,
May-99,Iron,15,
May-99,gamma-Hexachlorocyclohexane,15,
May-99,Chlorides,15,
May-99,Atrazine,2,
May-99,Fecal streptococci ,3,
May-99,Chemical Oxygen Demand (Cr),15,
May-99,Nitrates,15,
May-99,Ammonium,15,
May-99,Magnesium,15,
May-99,"p,p-DDT",13,
May-99,Biochemical Oxygen,15,
May-99,Zinc,15,
May-99,Cadmium,15,
May-99,Macrozoobenthos,15,
Jun-99,Zinc,15,
Jun-99,Total phosphorus,15,
Jun-99,Ammonium,15,
Jun-99,Biochemical Oxygen,15,
Jun-99,"p,p-DDT",14,
Jun-99,Potassium,15,
Jun-99,Chemical Oxygen Demand (Mn),15,
Jun-99,Calcium,15,
Jun-99,Lead,15,
Jun-99,Cadmium,15,
Jun-99,Dissolved oxygen,15,
Jun-99,Fecal coliforms,6,
Jun-99,Orthophosphate-phosphorus,15,
Jun-99,Sodium,15,
Jun-99,Nitrates,15,
Jun-99,Water temperature,15,
Jun-99,Nitrites,15,
Jun-99,Manganese,15,
Jun-99,Chlorides,15,
Jun-99,Total coliforms,13,
Jun-99,Magnesium,15,
Jun-99,Sulphates,15,
Jun-99,Chromium,15,
Jun-99,Iron,15,
Jun-99,Macrozoobenthos,9,
Jun-99,gamma-Hexachlorocyclohexane,13,
Jun-99,Copper,15,
Jul-99,Manganese,22,
Jul-99,Orthophosphate-phosphorus,16,
Jul-99,"p,p-DDT",16,
Jul-99,Calcium,16,
Jul-99,Copper,22,
Jul-99,Chemical Oxygen Demand (Cr),16,
Jul-99,Chromium,22,
Jul-99,Lead,22,
Jul-99,Nitrites,16,
Jul-99,Nickel,6,
Jul-99,Nitrates,16,
Jul-99,Macrozoobenthos,15,
Jul-99,Fecal coliforms,1,
Jul-99,gamma-Hexachlorocyclohexane,16,
Jul-99,Bicarbonates,1,
Jul-99,Ammonium,16,
Jul-99,Fecal streptococci ,1,
Jul-99,Total coliforms,1,
Jul-99,Water temperature,16,
Jul-99,Total phosphorus,16,
Jul-99,Cadmium,22,
Jul-99,Sodium,16,
Jul-99,Zinc,22,
Jul-99,Chemical Oxygen Demand (Mn),16,
Jul-99,Dissolved oxygen,16,
Jul-99,Sulphates,16,
Jul-99,Biochemical Oxygen,16,
Jul-99,Anionic active surfactants,1,
Jul-99,Magnesium,16,
Jul-99,Iron,16,
Jul-99,Atrazine,1,
Jul-99,Potassium,16,
Jul-99,Chlorides,16,
Aug-99,Copper,20,
Aug-99,Lead,20,
Aug-99,Nitrites,14,
Aug-99,Dissolved oxygen,15,
Aug-99,Iron,14,
Aug-99,Water temperature,15,
Aug-99,Cadmium,20,
Aug-99,Chromium,20,
Aug-99,Macrozoobenthos,9,
Aug-99,Manganese,20,
Aug-99,Total phosphorus,14,
Aug-99,Ammonium,14,
Aug-99,Chemical Oxygen Demand (Cr),14,
Aug-99,Biochemical Oxygen,14,
Aug-99,Zinc,20,
Aug-99,Chemical Oxygen Demand (Mn),14,
Aug-99,Nitrates,14,
Aug-99,Sulphates,14,
Aug-99,gamma-Hexachlorocyclohexane,14,
Aug-99,Potassium,14,
Aug-99,Calcium,14,
Aug-99,Chlorides,14,
Aug-99,Magnesium,14,
Aug-99,"p,p-DDT",14,
Aug-99,Sodium,14,
Aug-99,Orthophosphate-phosphorus,14,
Aug-99,Nickel,6,
Sep-99,Ammonium,14,
Sep-99,Lead,14,
Sep-99,"p,p-DDT",14,
Sep-99,Iron,14,
Sep-99,Manganese,14,
Sep-99,Chlorides,14,
Sep-99,Total coliforms,2,
Sep-99,Potassium,14,
Sep-99,Calcium,14,
Sep-99,Chemical Oxygen Demand (Cr),14,
Sep-99,Magnesium,14,
Sep-99,Sulphates,14,
Sep-99,Dissolved oxygen,15,
Sep-99,Fecal coliforms,2,
Sep-99,Cadmium,14,
Sep-99,Total phosphorus,14,
Sep-99,Chromium,14,
Sep-99,gamma-Hexachlorocyclohexane,14,
Sep-99,Zinc,14,
Sep-99,Water temperature,15,
Sep-99,Nitrites,14,
Sep-99,Chemical Oxygen Demand (Mn),14,
Sep-99,Sodium,14,
Sep-99,Nitrates,14,
Sep-99,Macrozoobenthos,14,
Sep-99,Orthophosphate-phosphorus,14,
Sep-99,Copper,14,
Sep-99,Biochemical Oxygen,14,
Sep-99,Fecal streptococci ,2,
Oct-99,Ammonium,14,
Oct-99,Orthophosphate-phosphorus,14,
Oct-99,Lead,14,
Oct-99,Potassium,14,
Oct-99,Chemical Oxygen Demand (Cr),14,
Oct-99,Chlorides,14,
Oct-99,Dissolved oxygen,15,
Oct-99,Fecal streptococci ,12,
Oct-99,Total coliforms,13,
Oct-99,Magnesium,14,
Oct-99,Sulphates,14,
Oct-99,Copper,14,
Oct-99,Biochemical Oxygen,14,
Oct-99,Chromium,14,
Oct-99,Macrozoobenthos,9,
Oct-99,Total phosphorus,14,
Oct-99,Sodium,14,
Oct-99,Fecal coliforms,12,
Oct-99,Zinc,14,
Oct-99,Nitrates,14,
Oct-99,Manganese,14,
Oct-99,Chemical Oxygen Demand (Mn),14,
Oct-99,Nitrites,14,
Oct-99,Iron,14,
Oct-99,Calcium,14,
Oct-99,gamma-Hexachlorocyclohexane,14,
Oct-99,"p,p-DDT",14,
Oct-99,Cadmium,14,
Oct-99,Water temperature,15,
Nov-99,Fecal coliforms,11,
Nov-99,Sulphates,14,
Nov-99,Copper,14,
Nov-99,Lead,14,
Nov-99,Nitrites,14,
Nov-99,Zinc,14,
Nov-99,Water temperature,15,
Nov-99,Macrozoobenthos,13,
Nov-99,Magnesium,14,
Nov-99,gamma-Hexachlorocyclohexane,14,
Nov-99,Chlorides,14,
Nov-99,Fecal streptococci ,11,
Nov-99,Sodium,14,
Nov-99,Orthophosphate-phosphorus,14,
Nov-99,Chromium,14,
Nov-99,Chemical Oxygen Demand (Cr),14,
Nov-99,Cadmium,14,
Nov-99,Calcium,14,
Nov-99,Nitrates,14,
Nov-99,Total phosphorus,14,
Nov-99,Iron,14,
Nov-99,Total coliforms,11,
Nov-99,Biochemical Oxygen,14,
Nov-99,Chemical Oxygen Demand (Mn),14,
Nov-99,Potassium,14,
Nov-99,"p,p-DDT",14,
Nov-99,Dissolved oxygen,15,
Nov-99,Manganese,14,
Nov-99,Ammonium,14,
Dec-99,Chemical Oxygen Demand (Mn),14,
Dec-99,Total phosphorus,14,
Dec-99,Chromium,14,
Dec-99,Total coliforms,11,
Dec-99,Calcium,14,
Dec-99,Fecal coliforms,11,
Dec-99,Lead,14,
Dec-99,Cadmium,13,
Dec-99,Nitrites,14,
Dec-99,Chlorides,14,
Dec-99,Fecal streptococci ,11,
Dec-99,Biochemical Oxygen,14,
Dec-99,Nitrates,14,
Dec-99,Iron,14,
Dec-99,Potassium,14,
Dec-99,Dissolved oxygen,15,
Dec-99,Magnesium,14,
Dec-99,Sulphates,14,
Dec-99,Manganese,14,
Dec-99,Sodium,14,
Dec-99,Macrozoobenthos,14,
Dec-99,Zinc,14,
Dec-99,Water temperature,15,
Dec-99,Chemical Oxygen Demand (Cr),14,
Dec-99,Ammonium,14,
Dec-99,Copper,14,
Dec-99,gamma-Hexachlorocyclohexane,14,
Dec-99,Orthophosphate-phosphorus,14,
Dec-99,"p,p-DDT",14,
Jan-00,Sulphates,14,
Jan-00,Sodium,14,
Jan-00,Anionic active surfactants,14,
Jan-00,Manganese,14,
Jan-00,Chromium,14,
Jan-00,Zinc,14,
Jan-00,Magnesium,14,
Jan-00,Orthophosphate-phosphorus,14,
Jan-00,Calcium,14,
Jan-00,Cadmium,14,
Jan-00,Potassium,14,
Jan-00,Water temperature,15,
Jan-00,Chemical Oxygen Demand (Mn),14,
Jan-00,Copper,14,
Jan-00,Bicarbonates,14,
Jan-00,Biochemical Oxygen,14,
Jan-00,Nitrites,14,
Jan-00,"p,p-DDT",14,
Jan-00,Lead,14,
Jan-00,gamma-Hexachlorocyclohexane,14,
Jan-00,Dissolved oxygen,15,
Jan-00,Macrozoobenthos,14,
Jan-00,Atrazine,3,
Jan-00,Fecal coliforms,12,
Jan-00,Chemical Oxygen Demand (Cr),14,
Jan-00,Total phosphorus,14,
Jan-00,Total coliforms,12,
Jan-00,Nitrates,14,
Jan-00,Chlorides,14,
Jan-00,Iron,14,
Jan-00,Fecal streptococci ,12,
Jan-00,Ammonium,14,
Feb-00,Nitrates,15,
Feb-00,Zinc,15,
Feb-00,Nitrites,15,
Feb-00,Chemical Oxygen Demand (Cr),15,
Feb-00,Copper,15,
Feb-00,Bicarbonates,15,
Feb-00,Biochemical Oxygen,15,
Feb-00,Anionic active surfactants,15,
Feb-00,Fecal streptococci ,15,
Feb-00,Sodium,15,
Feb-00,Water temperature,15,
Feb-00,Chemical Oxygen Demand (Mn),15,
Feb-00,Macrozoobenthos,15,
Feb-00,Potassium,15,
Feb-00,Ammonium,15,
Feb-00,Lead,15,
Feb-00,Manganese,15,
Feb-00,Chlorides,15,
Feb-00,"p,p-DDT",15,
Feb-00,Fecal coliforms,15,
Feb-00,Sulphates,15,
Feb-00,Magnesium,15,
Feb-00,Orthophosphate-phosphorus,15,
Feb-00,gamma-Hexachlorocyclohexane,15,
Feb-00,Atrazine,4,
Feb-00,Chromium,15,
Feb-00,Calcium,15,
Feb-00,Dissolved oxygen,15,
Feb-00,Iron,15,
Feb-00,Total phosphorus,15,
Feb-00,Cadmium,15,
Feb-00,Total coliforms,15,
Mar-00,Copper,15,
Mar-00,Manganese,15,
Mar-00,Chemical Oxygen Demand (Cr),15,
Mar-00,Bicarbonates,15,
Mar-00,Calcium,15,
Mar-00,gamma-Hexachlorocyclohexane,15,
Mar-00,Anionic active surfactants,15,
Mar-00,Total coliforms,13,
Mar-00,Sodium,15,
Mar-00,Chemical Oxygen Demand (Mn),15,
Mar-00,Chromium,15,
Mar-00,Fecal streptococci ,13,
Mar-00,Total phosphorus,15,
Mar-00,Nitrites,15,
Mar-00,Macrozoobenthos,15,
Mar-00,Zinc,15,
Mar-00,Sulphates,15,
Mar-00,Lead,15,
Mar-00,Iron,15,
Mar-00,Chlorides,15,
Mar-00,Atrazine,15,
Mar-00,Ammonium,15,
Mar-00,Magnesium,15,
Mar-00,Water temperature,15,
Mar-00,Dissolved oxygen,15,
Mar-00,Biochemical Oxygen,15,
Mar-00,Fecal coliforms,13,
Mar-00,"p,p-DDT",15,
Mar-00,Orthophosphate-phosphorus,15,
Mar-00,Nitrates,15,
Mar-00,Potassium,15,
Mar-00,Cadmium,15,
Apr-00,gamma-Hexachlorocyclohexane,15,
Apr-00,Total extractable matter,15,
Apr-00,Macrozoobenthos,15,
Apr-00,Bicarbonates,15,
Apr-00,Iron,15,
Apr-00,Manganese,15,
Apr-00,Cadmium,15,
Apr-00,Total coliforms,15,
Apr-00,Copper,15,
Apr-00,Zinc,15,
