location,Year,value,scaled_df,severity,latitude,longitude
Somchair,2007,15396.92,0.004247739,Very Low,0,0
Kannika,2007,34832.8376,0.580290228,High,0,0
Kohsoom,2008,12816.29675,0,Very Low,0,0
Sakda,2008,34850.833,0.538708905,High,0,0
Busarakhan,2008,14601.9255,0.043655746,Very Low,0,0
Boonsri,2008,53718.78793,1,Very High,0,0
Chai,2008,47009.5958,0.835971064,High,0,0
Kannika,2008,31752.3861,0.462956871,Medium,0,0
Somchair,2008,15304.0991,0.060822759,Very Low,0,0
Tansanee,2009,18011.8476,0.156089909,Low,0,0
Kannika,2009,30202.5375,0.508341127,Medium,0,0
Kohsoom,2009,25523.417,0.373137467,Medium,0,0
Somchair,2009,14969.308,0.06817542,Very Low,0,0
Sakda,2009,32640.0061,0.578772029,High,0,0
Achara,2009,21111.061,0.245641994,Low,0,0
Busarakhan,2009,12609.897,0,Very Low,0,0
Chai,2009,47217.8395,1,Very High,0,0
Boonsri,2009,44110.1279,0.910202359,Very High,0,0
Decha,2009,18050.5282,0.157207589,Low,0,0
Busarakhan,2010,9095.2461,0.202679919,Low,0,0
Sakda,2010,21253.1881,0.540157151,High,0,0
Tansanee,2010,15492.986,0.380266846,Medium,0,0
Boonsri,2010,27866.6131,0.723731013,High,0,0
Chai,2010,37819.4692,1,Very High,0,0
Kohsoom,2010,32123.6933,0.841898022,Very High,0,0
Decha,2010,10548.21,0.243010942,Low,0,0
Achara,2010,1793.50698,0,Very Low,0,0
Kannika,2010,20993.7081,0.532954568,High,0,0
Somchair,2010,9345.3803,0.209623084,Low,0,0
Decha,2011,12779.1476,0.244491083,Low,0,0
Sakda,2011,28205.121,0.596846439,High,0,0
Kannika,2011,28979.7388,0.614540022,High,0,0
Busarakhan,2011,12235.815,0.232080446,Low,0,0
Boonsri,2011,24675.2014,0.516217098,Medium,0,0
Tansanee,2011,12956.675,0.248546109,Low,0,0
Somchair,2011,11164.723,0.207614891,Low,0,0
Kohsoom,2011,23251.5214,0.483697835,Medium,0,0
Chai,2011,45855.019,1,Very High,0,0
Achara,2011,2075.428,0,Very Low,0,0
Somchair,2012,9051.7103,0.304978941,Medium,0,0
Kohsoom,2012,15649.0932,0.579333865,High,0,0
Sakda,2012,18705.3837,0.706430983,High,0,0
Chai,2012,23906.7941,0.922733807,Very High,0,0
Tansanee,2012,13249.392,0.479541289,Medium,0,0
Decha,2012,7783.5211,0.252240764,Low,0,0
Kannika,2012,18518.8267,0.698672932,High,0,0
Busarakhan,2012,9347.8119,0.31729245,Medium,0,0
Achara,2012,1717.915,0,Very Low,0,0
Boonsri,2012,25764.8058,1,Very High,0,0
Sakda,2013,22994.277,0.728008297,High,0,0
Decha,2013,12716.548,0.38413361,Medium,0,0
Somchair,2013,9766.13212,0.285417899,Low,0,0
Boonsri,2013,31123.5669,1,Very High,0,0
Busarakhan,2013,10476.85718,0.309197506,Medium,0,0
Achara,2013,1235.56,0,Very Low,0,0
Chai,2013,21861.7675,0.690116526,High,0,0
Kannika,2013,18140.205,0.565599608,High,0,0
Kohsoom,2013,16053.7025,0.495788915,Medium,0,0
Tansanee,2013,11515.72387,0.343956153,Medium,0,0
Achara,2014,5466.892,0,Very Low,0,0
Boonsri,2014,51693.9544,1,Very High,0,0
Busarakhan,2014,12334.36497,0.14855958,Low,0,0
Sakda,2014,34478.42692,0.627587682,High,0,0
Kannika,2014,29000.31176,0.509083176,Medium,0,0
Tansanee,2014,23561.7276,0.39143382,Medium,0,0
Decha,2014,9066.5345,0.077868727,Very Low,0,0
Chai,2014,19312.81186,0.299519786,Medium,0,0
Kohsoom,2014,15755.945,0.222576397,Low,0,0
Somchair,2014,11262.66731,0.125376241,Low,0,0
Achara,2015,4727.936,0,Very Low,0,0
Sakda,2015,32319.0142,1,Very High,0,0
Busarakhan,2015,12528.9092,0.282735352,Low,0,0
Chai,2015,22360.0309,0.639050594,High,0,0
Tansanee,2015,22597.3376,0.647651443,High,0,0
Kannika,2015,31471.5183,0.969283698,Very High,0,0
Boonsri,2015,27900.1062,0.839842866,High,0,0
Decha,2015,9899.1746,0.187424303,Low,0,0
Kohsoom,2015,14795.4125,0.364881591,Medium,0,0
Somchair,2015,12526.077,0.282632703,Low,0,0
Somchair,2016,16083.3003,0.387548565,Medium,0,0
Decha,2016,9714.311,0.146908379,Low,0,0
Sakda,2016,31611.0017,0.974233325,Very High,0,0
Boonsri,2016,29728.944,0.903123343,Very High,0,0
Busarakhan,2016,14729.7804,0.336408382,Medium,0,0
Kohsoom,2016,13534.863,0.291260693,Medium,0,0
Chai,2016,27819.2427,0.830968899,High,0,0
Kannika,2016,32292.9646,1,Very High,0,0
Achara,2016,5826.108,0,Very Low,0,0
Tansanee,2016,21883.5317,0.606699312,High,0,0
