,id,value,location,sample_date,measure,Month,Day,MonthName,Year,year
1521,6552,10.0,Somchair,1998-06-29,Lead,1,2,June,1998,1998
1554,8515,10.0,Kannika,1998-06-29,Lead,1,2,June,1998,1998
1587,8996,10.0,Kannika,1998-06-29,Lead,1,2,June,1998,1998
1620,9479,10.0,Kannika,1998-06-29,Lead,1,2,June,1998,1998
1653,9927,1.0,Sakda,1998-06-30,Lead,1,2,June,1998,1998
1687,2486,0.0,Boonsri,1998-07-11,Lead,1,2,July,1998,1998
1719,2848,0.0,Boonsri,1998-07-11,Lead,1,2,July,1998,1998
1752,5309,0.0,Chai,1998-07-23,Lead,1,2,July,1998,1998
1784,5793,0.0,Chai,1998-07-23,Lead,1,2,July,1998,1998
1816,6271,0.0,Chai,1998-07-23,Lead,1,2,July,1998,1998
1848,8556,0.0,Kannika,1998-07-26,Lead,1,2,July,1998,1998
1880,9037,0.0,Kannika,1998-07-26,Lead,1,2,July,1998,1998
1912,9520,0.0,Kannika,1998-07-26,Lead,1,2,July,1998,1998
1944,2526,4.0,Boonsri,1998-08-08,Lead,1,2,August,1998,1998
1976,2889,3.0,Boonsri,1998-08-08,Lead,1,2,August,1998,1998
1994,5330,32.89,Chai,1998-08-15,Lead,1,2,August,1998,1998
2000,8577,22.25,Kannika,1998-08-15,Lead,1,2,August,1998,1998
2006,9741,23.36,Sakda,1998-08-15,Lead,1,2,August,1998,1998
2026,4911,52.0,Kohsoom,1998-08-22,Lead,1,2,August,1998,1998
2058,5355,11.0,Chai,1998-08-23,Lead,1,2,August,1998,1998
2090,5833,16.0,Chai,1998-08-23,Lead,1,2,August,1998,1998
2122,6311,7.0,Chai,1998-08-23,Lead,1,2,August,1998,1998
2154,6593,15.0,Somchair,1998-08-24,Lead,1,2,August,1998,1998
2186,8602,20.0,Kannika,1998-08-25,Lead,1,2,August,1998,1998
2218,9077,20.0,Kannika,1998-08-25,Lead,1,2,August,1998,1998
2250,9560,20.0,Kannika,1998-08-25,Lead,1,2,August,1998,1998
2282,9969,18.0,Sakda,1998-08-26,Lead,1,2,August,1998,1998
2314,2566,0.0,Boonsri,1998-09-05,Lead,1,2,September,1998,1998
2346,2929,0.0,Boonsri,1998-09-05,Lead,1,2,September,1998,1998
2378,8642,0.0,Kannika,1998-09-20,Lead,1,2,September,1998,1998
2410,9117,0.0,Kannika,1998-09-20,Lead,1,2,September,1998,1998
2442,9600,0.0,Kannika,1998-09-20,Lead,1,2,September,1998,1998
2474,5395,0.0,Chai,1998-09-27,Lead,1,2,September,1998,1998
2506,5873,0.0,Chai,1998-09-27,Lead,1,2,September,1998,1998
2538,6351,0.0,Chai,1998-09-27,Lead,1,2,September,1998,1998
2570,4951,0.0,Kohsoom,1998-10-01,Lead,1,2,October,1998,1998
2602,2606,5.0,Boonsri,1998-10-03,Lead,1,2,October,1998,1998
2634,2969,12.0,Boonsri,1998-10-03,Lead,1,2,October,1998,1998
2666,8682,83.0,Kannika,1998-10-23,Lead,1,2,October,1998,1998
2698,9157,33.0,Kannika,1998-10-23,Lead,1,2,October,1998,1998
2730,9640,30.0,Kannika,1998-10-23,Lead,1,2,October,1998,1998
2762,9766,50.0,Sakda,1998-10-24,Lead,1,2,October,1998,1998
2794,10009,52.0,Sakda,1998-10-24,Lead,1,2,October,1998,1998
2826,10129,45.0,Sakda,1998-10-24,Lead,1,2,October,1998,1998
2858,6753,48.0,Busarakhan,1998-10-29,Lead,1,2,October,1998,1998
2890,5435,42.0,Chai,1998-10-30,Lead,1,2,October,1998,1998
2922,5913,62.0,Chai,1998-10-30,Lead,1,2,October,1998,1998
2954,6391,53.0,Chai,1998-10-30,Lead,1,2,October,1998,1998
2986,6633,48.0,Somchair,1998-10-30,Lead,1,3,October,1998,1998
3018,2646,0.0,Boonsri,1998-11-07,Lead,1,3,November,1998,1998
3050,3009,0.0,Boonsri,1998-11-07,Lead,1,3,November,1998,1998
3082,4991,92.0,Kohsoom,1998-11-14,Lead,1,3,November,1998,1998
3114,8722,40.0,Kannika,1998-11-20,Lead,1,3,November,1998,1998
3146,9197,30.0,Kannika,1998-11-20,Lead,1,3,November,1998,1998
3178,9680,30.0,Kannika,1998-11-20,Lead,1,3,November,1998,1998
3210,9806,17.0,Sakda,1998-11-20,Lead,1,3,November,1998,1998
3242,10049,15.0,Sakda,1998-11-20,Lead,1,3,November,1998,1998
3274,10169,14.0,Sakda,1998-11-20,Lead,1,3,November,1998,1998
3306,5475,14.0,Chai,1998-11-26,Lead,1,3,November,1998,1998
3338,5953,14.0,Chai,1998-11-26,Lead,1,3,November,1998,1998
3370,6431,15.0,Chai,1998-11-26,Lead,1,3,November,1998,1998
3402,6673,23.0,Somchair,1998-11-28,Lead,1,3,November,1998,1998
3434,6793,49.0,Busarakhan,1998-11-28,Lead,1,3,November,1998,1998
3466,2686,0.0,Boonsri,1998-12-05,Lead,1,3,December,1998,1998
3498,3049,0.0,Boonsri,1998-12-05,Lead,1,3,December,1998,1998
3530,9846,1.0,Sakda,1998-12-10,Lead,1,3,December,1998,1998
3562,10089,12.0,Sakda,1998-12-10,Lead,1,3,December,1998,1998
3594,10209,8.0,Sakda,1998-12-10,Lead,1,3,December,1998,1998
3626,5031,40.0,Kohsoom,1998-12-13,Lead,1,3,December,1998,1998
3656,8756,20.0,Kannika,1998-12-17,Lead,1,3,December,1998,1998
3687,9237,10.0,Kannika,1998-12-17,Lead,1,3,December,1998,1998
3719,9720,30.0,Kannika,1998-12-17,Lead,1,3,December,1998,1998
3751,5515,1.0,Chai,1998-12-18,Lead,1,3,December,1998,1998
3783,5993,1.0,Chai,1998-12-18,Lead,1,3,December,1998,1998
3815,6471,2.0,Chai,1998-12-18,Lead,1,3,December,1998,1998
3847,6713,1.0,Somchair,1998-12-19,Lead,1,3,December,1998,1998
3879,6833,1.0,Busarakhan,1998-12-19,Lead,1,3,December,1998,1998
3931,41748,3.0,Boonsri,1999-01-09,Lead,1,3,January,1999,1999
3976,45737,2.0,Kohsoom,1999-01-16,Lead,1,3,January,1999,1999
4003,52455,26.0,Sakda,1999-01-16,Lead,1,3,January,1999,1999
4030,52876,10.0,Sakda,1999-01-16,Lead,1,3,January,1999,1999
4057,53637,19.0,Sakda,1999-01-16,Lead,1,3,January,1999,1999
4084,50880,41.0,Kannika,1999-01-21,Lead,1,3,January,1999,1999
4111,51297,13.0,Kannika,1999-01-21,Lead,1,3,January,1999,1999
4139,52054,43.0,Kannika,1999-01-21,Lead,1,3,January,1999,1999
4166,48101,34.0,Somchair,1999-01-27,Lead,1,3,January,1999,1999
4197,48869,14.0,Busarakhan,1999-01-27,Lead,1,3,January,1999,1999
4228,46131,20.0,Chai,1999-01-30,Lead,1,3,January,1999,1999
4260,46923,38.0,Chai,1999-01-30,Lead,1,3,January,1999,1999
4292,47327,38.0,Chai,1999-01-30,Lead,1,3,January,1999,1999
4323,41019,21.0,Boonsri,1999-02-11,Lead,1,3,February,1999,1999
4352,41778,63.0,Boonsri,1999-02-11,Lead,1,3,February,1999,1999
4381,42153,18.0,Boonsri,1999-02-11,Lead,1,3,February,1999,1999
4409,45769,18.0,Kohsoom,1999-02-13,Lead,1,3,February,1999,1999
4435,46170,13.0,Chai,1999-02-18,Lead,1,3,February,1999,1999
4467,46961,22.0,Chai,1999-02-18,Lead,1,3,February,1999,1999
4499,47365,12.0,Chai,1999-02-18,Lead,1,3,February,1999,1999
4590,50913,6.0,Kannika,1999-02-26,Lead,1,3,February,1999,1999
4619,51331,11.0,Kannika,1999-02-26,Lead,1,3,February,1999,1999
4675,52488,14.0,Sakda,1999-02-27,Lead,1,3,February,1999,1999
4705,52908,4.0,Sakda,1999-02-27,Lead,1,3,February,1999,1999
4735,53670,10.0,Sakda,1999-02-27,Lead,1,3,February,1999,1999
4763,41054,1.0,Boonsri,1999-03-11,Lead,1,3,March,1999,1999
4793,41812,11.0,Boonsri,1999-03-11,Lead,1,3,March,1999,1999
4820,42187,10.0,Boonsri,1999-03-11,Lead,1,3,March,1999,1999
4847,45799,7.0,Kohsoom,1999-03-13,Lead,1,3,March,1999,1999
4878,46209,14.0,Chai,1999-03-17,Lead,1,3,March,1999,1999
4909,46999,9.0,Chai,1999-03-17,Lead,1,3,March,1999,1999
4939,47403,7.0,Chai,1999-03-17,Lead,1,3,March,1999,1999
4969,48174,3.0,Somchair,1999-03-19,Lead,1,3,March,1999,1999
4999,48942,6.0,Busarakhan,1999-03-19,Lead,1,3,March,1999,1999
5029,50948,5.0,Kannika,1999-03-24,Lead,1,3,March,1999,1999
5059,51365,15.0,Kannika,1999-03-24,Lead,1,3,March,1999,1999
5087,52120,5.0,Kannika,1999-03-24,Lead,1,3,March,1999,1999
5115,52524,6.0,Sakda,1999-03-25,Lead,1,4,March,1999,1999
5146,52943,5.0,Sakda,1999-03-25,Lead,1,4,March,1999,1999
5174,53704,5.0,Sakda,1999-03-25,Lead,1,4,March,1999,1999
5201,41089,6.0,Boonsri,1999-04-16,Lead,1,4,April,1999,1999
5228,41843,15.0,Boonsri,1999-04-16,Lead,1,4,April,1999,1999
5254,42219,4.0,Boonsri,1999-04-16,Lead,1,4,April,1999,1999
5282,45834,18.0,Kohsoom,1999-04-22,Lead,1,4,April,1999,1999
5309,46246,22.0,Chai,1999-04-22,Lead,1,4,April,1999,1999
5337,47034,23.0,Chai,1999-04-22,Lead,1,4,April,1999,1999
5364,47439,37.0,Chai,1999-04-22,Lead,1,4,April,1999,1999
5391,48208,16.0,Somchair,1999-04-23,Lead,1,4,April,1999,1999
5417,48977,30.0,Busarakhan,1999-04-23,Lead,1,4,April,1999,1999
5442,50984,25.0,Kannika,1999-04-23,Lead,1,4,April,1999,1999
5467,51398,25.0,Kannika,1999-04-23,Lead,1,4,April,1999,1999
5493,52154,39.0,Kannika,1999-04-23,Lead,1,4,April,1999,1999
5520,52561,26.0,Sakda,1999-04-26,Lead,1,4,April,1999,1999
5544,52976,35.0,Sakda,1999-04-26,Lead,1,4,April,1999,1999
5569,53738,21.0,Sakda,1999-04-26,Lead,1,4,April,1999,1999
5594,41122,17.0,Boonsri,1999-05-13,Lead,1,4,May,1999,1999
5623,41874,17.0,Boonsri,1999-05-13,Lead,1,4,May,1999,1999
5651,42253,13.0,Boonsri,1999-05-13,Lead,1,4,May,1999,1999
5679,45866,11.0,Kohsoom,1999-05-15,Lead,1,4,May,1999,1999
5707,46280,9.0,Chai,1999-05-20,Lead,1,4,May,1999,1999
5735,47066,9.0,Chai,1999-05-20,Lead,1,4,May,1999,1999
5763,47472,9.0,Chai,1999-05-20,Lead,1,4,May,1999,1999
5792,52592,24.43,Sakda,1999-05-26,Lead,1,4,May,1999,1999
5824,53007,18.52,Sakda,1999-05-26,Lead,1,4,May,1999,1999
5855,53769,6.0,Sakda,1999-05-26,Lead,1,4,May,1999,1999
5882,48238,16.0,Somchair,1999-05-27,Lead,1,4,May,1999,1999
5909,49007,9.0,Busarakhan,1999-05-27,Lead,1,4,May,1999,1999
5937,51015,22.0,Kannika,1999-05-28,Lead,1,4,May,1999,1999
5965,51429,10.0,Kannika,1999-05-28,Lead,1,4,May,1999,1999
5992,52187,12.0,Kannika,1999-05-28,Lead,1,4,May,1999,1999
6020,41157,17.0,Boonsri,1999-06-06,Lead,1,4,June,1999,1999
6045,41907,10.0,Boonsri,1999-06-06,Lead,1,4,June,1999,1999
6070,42287,9.0,Boonsri,1999-06-06,Lead,1,4,June,1999,1999
6094,45899,31.0,Kohsoom,1999-06-18,Lead,1,4,June,1999,1999
6120,46314,21.0,Chai,1999-06-19,Lead,1,4,June,1999,1999
6147,47099,25.0,Chai,1999-06-19,Lead,1,4,June,1999,1999
6173,47506,20.0,Chai,1999-06-19,Lead,1,4,June,1999,1999
6198,48269,28.0,Somchair,1999-06-22,Lead,1,4,June,1999,1999
6220,49040,29.0,Busarakhan,1999-06-22,Lead,1,4,June,1999,1999
6246,51049,34.0,Kannika,1999-06-23,Lead,1,4,June,1999,1999
6273,51461,22.0,Kannika,1999-06-23,Lead,1,4,June,1999,1999
6300,52221,22.0,Kannika,1999-06-23,Lead,1,4,June,1999,1999
6326,52629,21.0,Sakda,1999-06-25,Lead,1,4,June,1999,1999
6352,53043,24.0,Sakda,1999-06-25,Lead,1,4,June,1999,1999
6379,53802,20.0,Sakda,1999-06-25,Lead,1,4,June,1999,1999
6391,45912,41.38,Kohsoom,1999-07-15,Lead,1,4,July,1999,1999
6398,46328,42.83,Chai,1999-07-15,Lead,1,4,July,1999,1999
6405,48278,37.49,Somchair,1999-07-15,Lead,1,4,July,1999,1999
6412,49053,37.04,Busarakhan,1999-07-15,Lead,1,4,July,1999,1999
6419,51063,61.5,Kannika,1999-07-15,Lead,1,4,July,1999,1999
6426,52642,36.2,Sakda,1999-07-15,Lead,1,4,July,1999,1999
6447,41188,36.0,Boonsri,1999-07-22,Lead,1,4,July,1999,1999
6473,41937,15.0,Boonsri,1999-07-22,Lead,1,4,July,1999,1999
6499,42317,18.0,Boonsri,1999-07-22,Lead,1,4,July,1999,1999
6525,46354,45.0,Chai,1999-07-22,Lead,1,4,July,1999,1999
6551,47130,43.0,Chai,1999-07-22,Lead,1,4,July,1999,1999
6577,47537,26.0,Chai,1999-07-22,Lead,1,4,July,1999,1999
6603,45937,50.0,Kohsoom,1999-07-24,Lead,1,4,July,1999,1999
6628,48303,30.0,Somchair,1999-07-24,Lead,1,4,July,1999,1999
6654,49078,48.0,Busarakhan,1999-07-24,Lead,1,4,July,1999,1999
6680,51089,44.0,Kannika,1999-07-25,Lead,1,4,July,1999,1999
6706,51493,18.0,Kannika,1999-07-25,Lead,1,4,July,1999,1999
6732,52253,33.0,Kannika,1999-07-25,Lead,1,4,July,1999,1999
6759,53834,30.8,Sakda,1999-07-26,Lead,1,4,July,1999,1999
6790,52668,47.0,Sakda,1999-07-28,Lead,1,5,July,1999,1999
6816,53075,16.0,Sakda,1999-07-28,Lead,1,5,July,1999,1999
6842,53871,28.0,Sakda,1999-07-28,Lead,1,5,July,1999,1999
6854,45949,35.83,Kohsoom,1999-08-15,Lead,1,5,August,1999,1999
6861,46367,38.72,Chai,1999-08-15,Lead,1,5,August,1999,1999
6868,48316,54.03,Somchair,1999-08-15,Lead,1,5,August,1999,1999
6875,49091,53.51,Busarakhan,1999-08-15,Lead,1,5,August,1999,1999
6882,51102,34.92,Kannika,1999-08-15,Lead,1,5,August,1999,1999
6889,52681,43.07,Sakda,1999-08-15,Lead,1,5,August,1999,1999
6910,41220,32.0,Boonsri,1999-08-19,Lead,1,5,August,1999,1999
6935,41968,35.0,Boonsri,1999-08-19,Lead,1,5,August,1999,1999
6962,45974,25.0,Kohsoom,1999-08-28,Lead,1,5,August,1999,1999
6987,46393,23.0,Chai,1999-08-28,Lead,1,5,August,1999,1999
7013,47161,25.0,Chai,1999-08-28,Lead,1,5,August,1999,1999
7039,47569,26.0,Chai,1999-08-28,Lead,1,5,August,1999,1999
7065,48341,33.0,Somchair,1999-08-29,Lead,1,5,August,1999,1999
7090,49116,20.0,Busarakhan,1999-08-30,Lead,1,5,August,1999,1999
7115,51128,20.0,Kannika,1999-08-30,Lead,1,5,August,1999,1999
7141,51524,21.0,Kannika,1999-08-30,Lead,1,5,August,1999,1999
7167,52285,20.0,Kannika,1999-08-30,Lead,1,5,August,1999,1999
7193,52707,21.0,Sakda,1999-08-31,Lead,1,5,August,1999,1999
7219,53106,25.0,Sakda,1999-08-31,Lead,1,5,August,1999,1999
7245,53903,19.0,Sakda,1999-08-31,Lead,1,5,August,1999,1999
7271,41251,17.0,Boonsri,1999-09-16,Lead,1,5,September,1999,1999
7300,41998,24.0,Boonsri,1999-09-16,Lead,1,5,September,1999,1999
7331,46425,23.0,Chai,1999-09-16,Lead,1,5,September,1999,1999
7357,47192,13.0,Chai,1999-09-16,Lead,1,5,September,1999,1999
7383,47601,33.0,Chai,1999-09-16,Lead,1,5,September,1999,1999
7409,46004,28.0,Kohsoom,1999-09-18,Lead,1,5,September,1999,1999
7435,48371,45.0,Somchair,1999-09-18,Lead,1,5,September,1999,1999
7461,49146,17.0,Busarakhan,1999-09-18,Lead,1,5,September,1999,1999
7487,51160,27.0,Kannika,1999-09-19,Lead,1,5,September,1999,1999
7513,51555,13.0,Kannika,1999-09-19,Lead,1,5,September,1999,1999
7539,52317,33.0,Kannika,1999-09-19,Lead,1,5,September,1999,1999
7565,52739,14.0,Sakda,1999-09-21,Lead,1,5,September,1999,1999
7591,53137,24.0,Sakda,1999-09-21,Lead,1,5,September,1999,1999
7617,53935,25.0,Sakda,1999-09-21,Lead,1,5,September,1999,1999
7643,41286,18.0,Boonsri,1999-10-10,Lead,1,5,October,1999,1999
7671,42032,23.0,Boonsri,1999-10-10,Lead,1,5,October,1999,1999
7701,46035,87.0,Kohsoom,1999-10-20,Lead,1,5,October,1999,1999
7729,46457,36.0,Chai,1999-10-21,Lead,1,5,October,1999,1999
7755,47223,25.0,Chai,1999-10-21,Lead,1,5,October,1999,1999
7784,47633,20.0,Chai,1999-10-21,Lead,1,5,October,1999,1999
7811,48402,21.0,Somchair,1999-10-21,Lead,1,5,October,1999,1999
7839,49177,31.0,Busarakhan,1999-10-22,Lead,1,5,October,1999,1999
7867,51192,36.0,Kannika,1999-10-22,Lead,1,5,October,1999,1999
7896,51586,38.0,Kannika,1999-10-22,Lead,1,5,October,1999,1999
7925,52349,51.0,Kannika,1999-10-22,Lead,1,5,October,1999,1999
7954,52771,24.0,Sakda,1999-10-23,Lead,1,5,October,1999,1999
7983,53168,37.0,Sakda,1999-10-23,Lead,1,5,October,1999,1999
8012,53967,29.0,Sakda,1999-10-23,Lead,1,5,October,1999,1999
8041,41320,40.0,Boonsri,1999-11-05,Lead,1,5,November,1999,1999
8067,42065,26.0,Boonsri,1999-11-05,Lead,1,5,November,1999,1999
8095,46068,47.0,Kohsoom,1999-11-07,Lead,1,5,November,1999,1999
8120,46489,51.0,Chai,1999-11-18,Lead,1,5,November,1999,1999
8149,47257,31.0,Chai,1999-11-18,Lead,1,5,November,1999,1999
8178,47666,36.0,Chai,1999-11-18,Lead,1,5,November,1999,1999
8207,48435,57.0,Somchair,1999-11-20,Lead,1,5,November,1999,1999
8236,49210,23.0,Busarakhan,1999-11-20,Lead,1,5,November,1999,1999
8265,51227,24.0,Kannika,1999-11-26,Lead,1,5,November,1999,1999
8294,51620,16.0,Kannika,1999-11-26,Lead,1,5,November,1999,1999
8323,52384,24.0,Kannika,1999-11-26,Lead,1,5,November,1999,1999
8352,52806,16.0,Sakda,1999-11-26,Lead,1,5,November,1999,1999
8381,53202,23.0,Sakda,1999-11-26,Lead,1,5,November,1999,1999
8410,54002,15.0,Sakda,1999-11-26,Lead,1,5,November,1999,1999
8439,41352,21.0,Boonsri,1999-12-09,Lead,1,5,December,1999,1999
8464,42096,20.0,Boonsri,1999-12-09,Lead,1,5,December,1999,1999
8492,46524,28.0,Chai,1999-12-09,Lead,1,5,December,1999,1999
8521,47291,48.0,Chai,1999-12-09,Lead,1,5,December,1999,1999
8550,47701,34.0,Chai,1999-12-09,Lead,1,5,December,1999,1999
8579,48469,34.0,Somchair,1999-12-10,Lead,1,5,December,1999,1999
8608,49244,19.0,Busarakhan,1999-12-10,Lead,1,5,December,1999,1999
8637,46098,40.0,Kohsoom,1999-12-11,Lead,1,5,December,1999,1999
8663,52841,27.0,Sakda,1999-12-15,Lead,1,5,December,1999,1999
8692,53236,41.0,Sakda,1999-12-15,Lead,1,5,December,1999,1999
8721,54037,57.0,Sakda,1999-12-15,Lead,1,5,December,1999,1999
8750,51262,35.0,Kannika,1999-12-16,Lead,1,5,December,1999,1999
8779,51654,25.0,Kannika,1999-12-16,Lead,1,5,December,1999,1999
8808,52419,21.0,Kannika,1999-12-16,Lead,1,5,December,1999,1999
8840,97495,76.96,Boonsri,2000-01-14,Lead,1,5,January,2000,2000
8872,98287,79.32,Boonsri,2000-01-14,Lead,1,5,January,2000,2000
8901,104639,25.58,Chai,2000-01-14,Lead,1,5,January,2000,2000
8932,105442,26.73,Chai,2000-01-14,Lead,1,6,January,2000,2000
8963,106234,55.58,Chai,2000-01-14,Lead,1,6,January,2000,2000
8994,107024,40.82,Somchair,2000-01-15,Lead,1,6,January,2000,2000
9025,107831,14.59,Busarakhan,2000-01-15,Lead,1,6,January,2000,2000
9056,103831,26.4,Kohsoom,2000-01-16,Lead,1,6,January,2000,2000
9085,110668,15.12,Kannika,2000-01-19,Lead,1,6,January,2000,2000
9116,111469,18.17,Kannika,2000-01-19,Lead,1,6,January,2000,2000
9147,112266,11.27,Kannika,2000-01-19,Lead,1,6,January,2000,2000
9178,113065,16.38,Sakda,2000-01-19,Lead,1,6,January,2000,2000
9209,113866,17.83,Sakda,2000-01-19,Lead,1,6,January,2000,2000
9240,114661,20.69,Sakda,2000-01-19,Lead,1,6,January,2000,2000
9271,96737,20.1,Boonsri,2000-02-10,Lead,1,6,February,2000,2000
9303,97533,25.01,Boonsri,2000-02-10,Lead,1,6,February,2000,2000
9335,98322,17.17,Boonsri,2000-02-10,Lead,1,6,February,2000,2000
9367,103866,33.61,Kohsoom,2000-02-12,Lead,1,6,February,2000,2000
9399,104676,37.24,Chai,2000-02-18,Lead,1,6,February,2000,2000
9430,105479,38.87,Chai,2000-02-18,Lead,1,6,February,2000,2000
9461,106271,41.06,Chai,2000-02-18,Lead,1,6,February,2000,2000
9492,110705,19.5,Kannika,2000-02-18,Lead,1,6,February,2000,2000
9523,111506,19.07,Kannika,2000-02-18,Lead,1,6,February,2000,2000
9554,112303,37.67,Kannika,2000-02-18,Lead,1,6,February,2000,2000
9585,107061,41.9,Somchair,2000-02-19,Lead,1,6,February,2000,2000
9616,107868,17.24,Busarakhan,2000-02-19,Lead,1,6,February,2000,2000
9647,113102,19.19,Sakda,2000-02-19,Lead,1,6,February,2000,2000
9678,113903,19.85,Sakda,2000-02-19,Lead,1,6,February,2000,2000
9709,114698,50.91,Sakda,2000-02-19,Lead,1,6,February,2000,2000
9740,96775,181.1,Boonsri,2000-03-10,Lead,1,6,March,2000,2000
9772,97571,123.8,Boonsri,2000-03-10,Lead,1,6,March,2000,2000
9801,98360,45.8,Boonsri,2000-03-10,Lead,1,6,March,2000,2000
9830,103904,74.62,Kohsoom,2000-03-12,Lead,1,6,March,2000,2000
9862,104713,68.46,Chai,2000-03-18,Lead,1,6,March,2000,2000
9894,105516,77.55,Chai,2000-03-18,Lead,1,6,March,2000,2000
9926,106308,149.1,Chai,2000-03-18,Lead,1,6,March,2000,2000
9958,107098,144.7,Somchair,2000-03-19,Lead,1,6,March,2000,2000
9990,107905,3.69,Busarakhan,2000-03-19,Lead,1,6,March,2000,2000
10022,113139,77.75,Sakda,2000-03-23,Lead,1,6,March,2000,2000
10054,113940,54.52,Sakda,2000-03-23,Lead,1,6,March,2000,2000
10086,114735,61.61,Sakda,2000-03-23,Lead,1,6,March,2000,2000
10118,110742,63.39,Kannika,2000-03-24,Lead,1,6,March,2000,2000
10150,111543,76.72,Kannika,2000-03-24,Lead,1,6,March,2000,2000
10182,112340,33.09,Kannika,2000-03-24,Lead,1,6,March,2000,2000
10214,96813,15.0,Boonsri,2000-04-14,Lead,1,6,April,2000,2000
10247,97606,15.0,Boonsri,2000-04-14,Lead,2,6,April,2000,2000
10280,98395,15.0,Boonsri,2000-04-14,Lead,2,6,April,2000,2000
10313,103942,77.0,Kohsoom,2000-04-16,Lead,2,6,April,2000,2000
10346,104751,10.0,Chai,2000-04-28,Lead,2,6,April,2000,2000
10378,105554,10.0,Chai,2000-04-28,Lead,2,6,April,2000,2000
10410,106346,9.0,Chai,2000-04-28,Lead,2,6,April,2000,2000
10443,107136,47.0,Somchair,2000-04-28,Lead,2,6,April,2000,2000
10475,107943,33.0,Busarakhan,2000-04-29,Lead,2,6,April,2000,2000
10508,110780,17.0,Kannika,2000-04-29,Lead,2,6,April,2000,2000
10540,111581,14.0,Kannika,2000-04-29,Lead,2,6,April,2000,2000
10572,112378,29.0,Kannika,2000-04-29,Lead,2,6,April,2000,2000
10604,113177,16.0,Sakda,2000-04-29,Lead,2,6,April,2000,2000
10637,113978,18.0,Sakda,2000-04-29,Lead,2,6,April,2000,2000
10670,114773,16.0,Sakda,2000-04-29,Lead,2,6,April,2000,2000
